"Source:","C:\Users\91999\Downloads\hello\wien_bridge_oscillator\ESD_schematic\ESD_schematic.kicad_sch"
"Date:","12-02-2024 16:13:50"
"Tool:","Eeschema 7.0.10"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","16"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C2, C3, C4, C6","5","CKCL44X7R1H102M085AA","CKCL44X7R1H102M085AA","CKCL44X7R1H102M085AA:CAPCAF50P200X125X85-8","","",""
"D1, D2, D3, D4, D5, D6","6","TPD4E1B06DCKR","TPD4E1B06DCKR","TPD4E1B06DCKR:TVS_TPD4E1B06DCKR","","",""
"R1, R2, R3, R4, R6","5","CAY16-2201F4LF","CAY16-2201F4LF","CAY16_BRN","","",""
